id;login;mdp;email;nom;prenom;tel
1;Awesome Granite Computer;distributed Bike Data;Kevon.Goodwin93@gmail.com;purple;Liberian Dollar;Georgia Bacon Tasty
2;bypassing visionary;Small Soft Salad Personal Loan Account Iceland;Antonette_Langworth61@yahoo.com;Ranch scale lime;Credit Card Account initiatives Tuna;target digital
3;Soft;SQL Gorgeous Cotton Shirt withdrawal;Ayana68@gmail.com;Forward Investor Regional;fuchsia Health Awesome Steel Computer;monitor
4;Soap data-warehouse matrices;hacking;Dario_Medhurst@gmail.com;Small Avon;Pants generate cyan;sensor
5;Stand-alone Alaska;Fresh SCSI;Laurence72@hotmail.com;copying Configurable Internal;bypass;auxiliary Hat Customer
6;Persevering hybrid;Overpass;Nikita.Dietrich70@yahoo.com;dynamic Generic Fresh Car channels;bandwidth Games asynchronous;Arizona
7;Intranet Fresh Assistant;withdrawal AI Cambridgeshire;Daphnee_Schulist@yahoo.com;Berkshire Wooden;Practical;teal withdrawal Nuevo Sol
8;gold viral;transmitting Advanced;Larry88@hotmail.com;Moroccan Dirham Borders Oregon;coherent Investment Account Wisconsin;fuchsia
9;Michigan Implemented Ball;Iraq empowering;Jonathon_Hammes@gmail.com;throughput;Buckinghamshire Extensions;invoice markets
10;National;multi-state Sharable deliver;Jean21@gmail.com;sensor;Operative capacitor;Applications cutting-edge
